lat,lng,sine_time,cose_time,org_lat,org_lng,org_sine_time,org_cose_time
14,12,0.1,0.2,12,13,0.1,0.2
13,11,0.6,0.2,12,13,0.1,0.2
16,12,0.5,0.7,12,13,0.1,0.2
14,10,0.5,0.6,12,13,0.1,0.2
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
14,12,0.1,0.2,12,13,0.1,0.2
13,11,0.6,0.2,12,13,0.1,0.2
16,12,0.5,0.7,12,13,0.1,0.2
14,10,0.5,0.6,12,13,0.1,0.2
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
10,11,0.1,0.2,14,15,0.2,0.3
11,12,0.2,0.3,14,15,0.2,0.3
